Grooves Section,PRODUCT CODE,PCD,NO OF GROOVES,BUSH,TYPE,Outside,Max. Bore,,L,N,M
,,,,,,OD,Metric,Inch,,,
A,BM-6A-236-T3FG,236,6,3020,3,241.6,75,"3""",95,44.2,-
A,BM-1A-250-T4FG*,250,1,2012,4,255.6,50,"2""",20,11.8,11.8
A,BM-2A-250-T4FG*,250,2,2517,4,255.6,60,"2½""",35,9.5,9.5
A,BM-3A-250-T7FG*,250,3,2517,7,255.6,60,"2½""",50,5.5,5.5
A,BM-4A-250-T7FG*,250,4,3020,7,255.6,75,"3""",65,14.2,14.2
A,BM-5A-250-T7FG,250,5,3020,7,255.6,75,"3""",80,29.2,29.2
A,BM-6A-250-T7FG,250,6,3020,7,255.6,75,"3""",95,44.2,44.2
A,BM-1A-265-T1FG,265,1,2012,1,270.6,50,"2""",20,11.8,-
A,BM-2A-265-T8FG,265,2,2517,8,270.6,60,"2½""",35,9.5,9.5
A,BM-3A-265-T7FG,265,3,2517,7,270.6,60,"2½""",50,5.5,5.5
A,BM-4A-265-T7FG*,265,4,3020,7,270.6,75,"3""",65,14.2,14.2
A,BM-5A-265-T7FG,265,5,3020,7,270.6,75,"3""",80,29.2,29.2
A,BM-6A-265-T7FG,265,6,3020,7,270.6,75,"3""",95,44.2,44.2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
A,BM-1A-280-T1FG,280,1,2012,1,285.6,50,"2""",20,11.8,-
A,BM-2A-280-T8FG,280,2,2517,8,285.6,60,"2½""",35,9.5,9.5
A,BM-3A-280-T7FG,280,3,2517,7,285.6,60,"2½""",50,5.5,5.5
A,BM-4A-280-T7FG*,280,4,3020,7,285.6,75,"3""",65,14.2,14.2
A,BM-5A-280-T8FG,280,5,3535,8,285.6,90,"3½""",80,9,9
A,BM-6A-280-T7FG,280,6,3535,7,285.6,90,"3½""",95,6,6
A,BM-1A-300-T1FG*,300,1,2012,1,305.6,50,"2""",20,11.8,-
A,BM-2A-300-T8FG*,300,2,2517,8,305.6,60,"2½""",35,9.5,9.5
A,BM-3A-300-T7FG*,300,3,2517,7,305.6,60,"2½""",50,5.5,5.5
A,BM-4A-300-T7FG*,300,4,3020,7,305.6,75,"3""",65,14.2,14.2
A,BM-5A-300-T8FG,300,5,3535,8,305.6,90,"3½""",80,9,9
A,BM-6A-300-T7FG,300,6,3535,7,305.6,90,"3½""",95,6,6
A,BM-1A-315-T1FG,315,1,2012,1,320.6,50,"2""",20,11.8,-
A,BM-2A-315-T4FG,315,2,2517,4,320.6,60,2½,35,9.5,9.5
A,BM-3A-315-T8FG,315,3,3020,8,320.6,75,"3""",50,0.8,0.8
A,BM-4A-315-T7FG*,315,4,3020,7,320.6,75,"3""",65,14.2,14.2
A,BM-5A-315-T5FG,315,5,3535,5,320.6,90,"3½""",80,9,9
A,BM-6A-315-T5FG,315,6,3535,5,320.6,90,"3½""",95,6,6
A,BM-1A-335-T1FG*,335,1,2012,1,340.6,50,"2""",20,11.8,-
A,BM-2A-335-T4FG*,335,2,2517,4,340.6,60,"2½""",35,9.5,9.5
A,BM-3A-335-T8FG,335,3,3020,8,340.6,75,"3""",50,0.8,0.8
A,BM-4A-335-T7FG,335,4,3020,7,340.6,75,"3""",65,14.2,14.2
A,BM-5A-335-T8FG,335,5,3535,8,340.6,90,"3½""",80,9,9
A,BM-6A-335-T7FG,335,6,3535,7,340.6,90,"3½""",95,6,6
A,BM-1A-355-T1FG*,355,1,2012,1,360.6,50,"2""",20,11.8,-
A,BM-2A-355-T4FG,355,2,2517,4,360.6,60,"2½""",35,9.5,9.5
A,BM-3A-355-T4FG,355,3,3020,4,360.6,75,"3""",50,0.8,0.8
A,BM-4A-355-T5FG*,355,4,3020,5,360.6,75,"3""",65,14.2,14.2
A,BM-5A-355-T4FG,355,5,3535,4,360.6,90,"3½""",80,9,9
A,BM-6A-355-T5FG,355,6,3535,5,360.6,90,"3½""",95,6,6
A,BM-1A-375-T1FG,375,1,2012,1,380.6,50,"2""",20,11.8,11.8
A,BM-2A-375-T4FG,375,2,2517,4,380.6,60,"2½""",35,9.5,9.5
A,BM-3A-375-T4FG,375,3,3020,4,380.6,75,"3""",50,0.8,0.8
A,BM-4A-375-T5FG,375,4,3020,5,380.6,75,"3""",65,14.2,14.2
A,BM-5A-375-T4FG,375,5,3535,4,380.6,90,"3½""",80,9,9
A,BM-6A-375-T5FG,375,6,3535,5,380.6,90,"3½""",95,6,6
